predictions,references
"user: @British_Airways Problems with your desktop website? ETA to resolution? agent: ""we're aware of the issue and our IT team are working on a fix as we speak.""","Customers has problem with desktop website to order meal in flight. Agent informs customer to DM full name,booking reference, email address and  mobile number to reach on."
summary: user: @115913 user: @TMobileHelp @115913 You didnt help yesterday and you wont help today. now tour ceo knows how terrible you are at your jobs.,The customer is complaining that the issue was not resolved yet so he is asking them to call him and to fix it. The agent said that they have already dm and will absolutely call him.
"user: @AdobeCare Can you tell me how to do Red eye removal in Lightroom CC? agent: @601573 Bob, I will loop in our Lightroom expert to help you with this. SV agent: @601573 Hi Bob, Yes, its not there in Lightroom CC also, refer: https://t.co/ZYeB2O5W5f Thanks! AJ agent: @601573 Hi Bob, this feature is not available in Lightroom",Customer wants to know how to remove red eye in Lightroom CC and about list of missing items. Agent states that they have released new version and requests to check an article by sharing an URL.
"user: @British_Airways still dragging those heels on these refunds. come on guys, I need a holiday. agent: @138844 We're sorry for the delay in getting your refund. if this is to do with a package booking, you'll need to speak with our Holidays team. 2/2 Liz user: @British_Airways I've sent them several requests to get a jiggly on, they are very slow with contact",Customer is complaining about the delayed refund with a holiday package booking. Agent states that they cannot speed up the refund process but will do it ASAP.
user: @hulu_support it seems like since th last update volume on the Apple TV has gone down. So we have to turn it up more. This is on all our TVs. agent: @128399 That's odd behavior! Which generation Apple TV do you have? Are you noticing lower volume on all content or a certain show/movie? user: @hulu_support 4th gen Apple TV 2 of them. Kevin can wait was one of them. It seems most CBS shows at,The customer says that the volume on his Apple TV has gone down after the last update. The agent asks which generation Apple Tv does the customer owns and whether audio is lower all throughout playback or decrease at certain point.
"user: @nationalrailenq hi, I need to get from BTN to Exeter and then Gatwick tomorrow - will it be possible? agent: @327002 Hi, major disruption is expected tomorrow due to the storm. services that are showing with a price on the above link are still running.",Customer is enquirer that he need to get from BTN to Exeter and then Gatwick so it will be possible. Agent updated that they cannot predict how much damage the storm is going to cause so the cannot guarantee their service will run.
"user: @GWRHelp I am on the 17:35 train to reading tonight from swindon heard tht the line is closed between the station just wanted to ask how my train will get through i c it is going to Chippenham first then to reading -Tony agent: @191126 correct via Chippenham, arriving Reading at 19:05 -Tony user: @GWRHelp I assume it then goes on another line to reading? agent: @191126 yes, what we",Customer is enquiring about the route to Reading from Swindon. Agent states that there is a diversion in the route and it adds more time to the journey.
"user: @XboxSupport Why my xbox can't be my home xbox? agent: @390378 Okay, try re-adding your account with these steps https://t.co/ANtB3VzqWa. agent: @390378 Okay, when you get a moment what you will want to do in this case; is reach out to our chat team here: https://t.co/lUV7XYl61S.",Customer enquirers about xbox. Agent informs  customer to contact chat team through URL so they can take a deeper look into the account.
"user: @Tesco Is this ever gonna be fixed on iOS? It’s been like it for possibly a month or more...! agent: @645307 Hi Mike, again I'm sorry about this. Please can you uninstall and install the app. This should refresh and update all changes recently made. Let me know how you get on. - Natalie 2/2 user: @Tesco Still not working, same error as before following the guidelines... agent: @645307 Hi Mike, thank you for getting","Customer is complaining about the technical issue for which he should login through the website not from the the iPad and iPhone. Agent says if anythings else to help, let them know."
"user: @SpotifyCares Webplayer been stuck on this ad even after refresh, restart, re-log in and trying on different computer, it's chrome on win 10. agent: @210049 Hmm, that's odd. Can you try accessing https://t.co/aT5o0wcN4V using a private or incognito window? Fingers crossed that'll do the trick /JE user: @SpotifyCares Just tried","Customer having an issue with web player been stuck on this ad even  after refreshing,restart,re-log in and also try with different computer but the same issue. Agent updated the customer to clear all browser's cache and cookies and informed to try using private or incognito window ,Finally informed the customer to send account's email address or username via DM."
"d the following conversation:: user: @115858 @AppleSupport music and podcast “skip” around like a CD, then distorts and clears up in few seconds, only happens after iOS 11:::58 ....:   ..??:   :: user: @115858 @AppleS",Customer is complaining that Apple Music and Apple Podcast applications skips like a CD while playing. Agent updated that they will troubleshoot the issue and asked to DM to assist more.
"KM Summary: User asks Southwest Air about website issues. agent responds: ""We aren't aware of any technical issues with our website at the moment, Amy! Should the issue continue, please reach us at 800-435-9792!"" KM user asks: ""Is your site really undergoing maintenance or am I just having issues on my own logging in to buy tickets for a few hrs?""",Customer is complaining that he is unable to log into his account to book tickets using reward points. Agent confirms that there is no technical issues and requests to book through website or by calling the reservation team.
user: @VirginTrains Can you give Coach C on the 18:20 Euston departure strobe lighting? MW user: @VirginTrains This is why we need you to provide the fun! MW user: @VirginTrains This is why we need you to provide the fun! MW user: @VirginTrains The people have spoken!,Customer asking about will they give coach c on the 18:20 Euston departure strobe lighting. Agent  telling that glow stick as well ah Mann is it a hen party.
"user: @HPSupport I have at least 6 hours troubleshooting the HP Envy printer. It should be plug and play - way too complicated. agent: @581446 I see from your tweet that you get User intervention required message while printing from your printer, 1/2 agent: @581446 follow steps from this document https://t.co/2wmY1do5cT, reply in direct message https://t.co/39tixhtuXP.","The customer says that he facing an issue with Envy 7640 printer, set as default and adds that HP doctor fixed problem, but again it isn't working. The agent asks whether the customer is getting any error message that shows up on the printer or on computer and asks to DM via provided link."
"user: @sprintcare @115714 Absolutely HORRIBLE customer service and from a so-called ""supervisor"" at that. agent: @446636 This concerns us. Customer service is one of our main priorities. Please allow us to turn this around. -Maria Q user: @sprintcare Just got hung up on after a 1:24 call -- 75% was on hold including the last 30 minutes. people need to stay away from @115714 agent: @446636 Please DM us",The customer is complaining that his issue is not resolved and he did not get proper assistance for his issues and says that more than 75% of the call was on hold including the last 30 minutes. The agent asks to DM so that they can discuss further and also to provide feedback on the agent that placed him on hold for so long.
user: @AmazonHelp account HACKED and all seller money stollen NO HELP &gt; ANGRY agent: @340711 I'm very sorry to hear this. Have you checked your e-mail for a correspondence from them? the spam and junk folders? TH user: @AmazonHelp theres none agent: @340711 Thank you for letting us know! I would like someone from our Social Media team to look into this for you. Please send us,Customer is complaining that his account has been hacked and all seller money stolen. Agent updated that we sent an email over the weekend and revert on the same mail for  the update.
"summarize the following conversation. user: @British_Airways unable to book seats online and very unhelpful customer service agents agent: @397026 We're disappointed to hear that, Grant. we'll pass your comments to the airport managers. which airport did you travel from? 1/2 agent: @397026 Please accept our apologies for the inconvenience caused. 2/2 Linda 2/3 BS 3/3 Summary: This conversation took place on twitter.",Customer is complaining for not being able to book tickets online for his neighbour. Agent states that they would need the permission from the neighbour to book seat due to the UK data protection rules.
user: i got this Panasonic SC-UA3 at Silverburn branch. the instructions say it should have a moulded 3 pin mains plug. this is definitely not the right one... agent: @258178 i am sorry as we do not stock any spares for this item. the manufacturer may be able to send you one out directly as it was missing from the box. Alternatively as you purchased direct from one of our stores you will need to return it to a store along with your receipt.,Customer is complaining about the missing part of the Panasonic SC - UA3 which was bought at silverburn branch. Agent updates that since they have purchased direct from store they need to return back to the store along with the receipt and if they want to make a complaint they need to follow them and DM the details.
user: @hulu_support Current version of your Hulu app for amazon fire TV has sound that is half a second or more delayed from video. user: @hulu_support I tried uninstall/reinstall. problem seemed worse actually. user: @hulu_support I'm going to deactivate I think and wait for a version update.,Here customer is facing some issues with the hulu fire TV amazon subscriptions and also unhappy with the service  where he is getting delayed audio while tries to play  video . Here agent assists the customer to reinstall or uninstall the app and also ask to support in troubleshooting and change the settings to HDMI for better solution.
"user: @MicrosoftHelps I'm locked out of my email and cannot seem to get the forms right.. Help agent: @291315 Hello, JaeJae! Are you still experiencing the same issue? We are always here to help. agent: @291315 Hello, JaeJae! Were you able to access your account after filling out the form? user: @MicrosoftHelps After 3 attempts no. agent: @291315 2/2 Oh! That'","Customer is unable to get the forms since they have locked their mail. Agent updates with several solutions but customer seems not to reply, so agent requests to send them direct message if they need further assistance."
"user: It's pointless trying to claim train delay compensation, my journey from Eastbourne to Basingstoke apparently isn't either @121513 or @SW_Help problem. Neither wants to admit there was a delay on both companies service! agent: @372554 @121513 Please can you let me know the date and the time of the train that you were waiting for? JW user: @SW_Help @121513 Think it was the 2nd October and the 09:12",Customer is that trying to claim train delay compensation his journey from Eastbourne to Basingstoke . Agent updated that due to miss their connection onto their service.
"user: @Delta.... Sorry, not sorry is the worst answer to give a customer. *AJL user: @Delta DL 1234. It says ""de-icing"" but the pilot let us know once maintenance got there, they found no ice. *AJL agent: @802404 Aimee, all delays are frustrating and I'm sorry that you were affected. I'll try to have you on your way asap.",Customer complains about delay in flight. Agent informs  that they will try to have customer on his way asap.
user: @sainsburys your store in The North Brentford Quarter often don't get deliveries of popular brands of cigarettes (Tuesdays and Thursdays) why? when other branches always have them. mariya Summary:.,Customer is complaining about sainsburys store in the north brentford quarter  often don't get deliveries of popular brand of cigarettes. Agent updated to sent the DM with the brand that the customer is looking for.
"user: @Tesco is there any chance to still buy it and get the game later on? agent: @147611 Hi Vicky, I'm sorry that this game's gone out of stock. can you please let me know which game your looking for? user: @Tesco Hi I went on just now for a look and the game has changed to Mario which is great but I keep getting a error.",Customer is enquirer is there any chance to still buy it and get the game later on. Agent updated they will be able to take advantage of all bundles as normal tomorrow.
PN user: @SW_Help You really are terrible at your jobs. There hasn't been a day without some sort of huge delay since you took over. MB user: @SW_Help It was... eventually. Maybe that's why I had to tweet you? you're absolutely useless.,Customer is enquiring about 846 fnb-wat train looking today. Agent updated that this train is currently on time between Winchester and Basingstoke.
user: @delta thanks for the middle seat when I had a perfectly good aisle seat. agent: @445354 If the airport has control then I am unable to reassign the seat. My apologies for the inconvenience. *HPL user: @Delta Tell the airport to get their act together. And if you can't do anything then why bother replying? agent: @445354 Your feedback is greatly appreciated. I will forward this to the ATL airport customer service leadership team,Customer is complaining about the last minute changes to his seat which resulted in middle seat from aisle seat. Agent states that he is unable to reassign the seat once airport has taken control of the flight but assures to forward it to the ATL airport customer service leadership team.
"user: @Delta Flight status via your website seems not to be working? agent: we are unaware of any current issues. If you continue to experience issues, please contact Online Customer Support Desk at 888-750-3284.",Here customer complains about the website  not working while he was looking for the flight  via website. Agent gives the number for better solution for his issue and tells the customer as its working fine he can check and enjoy the service.
"TE Summary: user: @ATVIAssist for some reason in the blackjacks gun game mode for blops 3, I keep being kicked for inactivity after 20 seconds of playing. TE agent: @712348 Hey there, are you still being kicked out of matches for inactivity? FB user: @ATVIAssist My last match went flawlessly. Thanks again!",Customer is facing an issue while playing games. Agent updated to report the issue via FB if issue gets continue.
"user: @sainsburys double-up when they can't be bothered to stock up on things? agent: @706868 Apologies, was there an item in particular you were looking for? user: @sainsburys Sainsburys Scarborough. they usually have a very poor selection; we have been disappointed in the past. user: @sainsburys Hypothetically if you were to ring and ask them to hold a copy of both back when they receive this delivery, would they",Customer is asking whats the point in to double up  when they cant be bothered  to stock up on things. Agent asking what store do you usually shop in and i will take a look on your system for u.
"user: @GWRHelp when the whole train is full bar two nearly empty first class carriages, do you think a more flexible approach might be warranted?! agent: @763973 It is a decision taken by the Train Manager based on conditions on-board. as it effectively makes the carriage another standard class one, it doesn't happen every time there are no seats left.",Customer is having an issue in the train. Agent updated the customer to get in touch with train manager for the issue.
"user: @MicrosoftHelps when updating word (or any MS app) for iOS, why don't you show me a changelog? agent: @290959 Good question! Update notes can be found on where you downloaded the Office app. Let us know if you have other questions.",Customer is asking about the microsoft  updating word or MS app for IOS  and where can see the changes. Agent says to go to the link where can reach them:URL.
"user: @AppleSupport since the update to IOS 11 my phone doesn’t perform as it should, I’ve reset and restored but it still runs slow or turns off. agent: @430820 Got it. Are you keeping regular backups in iTunes or iCloud of your iPhone? Also, have you removed and reinstalled the apps?",Customer is complaining that his phone has slowed down since the last update and he tried resetting the device. Agent is inquiring about the issue in depth to find out the possible cause and to assist better.
"user: @British_Airways absolutely crap service! Will cancel flights and fly @VirginAtlantic now!!! agent: @476709 We're concerned to hear this, Hannah. Can you tell us what happened? Natalie user: @British_Airways You want to charge me £900 to cancel 2 flights that I don't want to use otherwise you cancel my 4th flight and £4200 to change them #RIPOFF' agent: @476709",Customer is  disappointed for being charged on cancelling flights. Agents informs customer that Fare rules are applied to all passengers regardless of cabin.
"user: @AppleSupport “Trash” button on email notification does not work on latest iOS. agent: @137196 Thanks for reaching out about this issue. What happens when you try to delete an email? Do you get an error message? user: @AppleSupport iOS : 11.1.2 and I’m using native app agent: @137196 Alright, when did this start happening? Are there any workarounds that you know of? Like restarting the iPhone or closing the app in Multitasking?",The customer says the Trash button on email notification does not work on latest iOS. The agent asks asks what happens when the customer tries deleting the email and to DM to resolve the issue.
"user: @Delta flight1287 from Miami to LaGuardia smells awful. we just boarded. it’s really really bad. agent: @260725 I'm very sorry about the discomfort this has caused you for your flight! *TBW user: @Delta They’re saying it game in from the last flight. they have sprayed and there’s nothing else they can do. it’s gross! agent: @260725 Oh no, Allie. That",Customer is complaining about the odor inside the flight and requests to change the seat on rebooking. Agent requests to seek out the flight attendants for immediate assistance regarding the issue.
"user: @SpotifyCares You guys mixed up songs. Breezeblocks by Alt-J has been replaced with their other song Fitzpleasure. Both play the same song! agent: @124511 Hmm, everything looks good on our end. Can you tell us the country that your account is set to? /SY user: @SpotifyCares I am listening from the United States and my account is set in the U.S. as well. Hope that helps.","Customer is complaining about the songs which is been mixed up. Agent asks to provide the details of device, operating system and version of spotify."
user: @Tesco found a whole live frog in a bag of shreddded lettuce before. agent: @270335 wow! unfortunately you will have to return this to an Extra/Metro/Superstore as we would have to return it to the suppliers for investigation.,"The customer is complaining that he found a live frog in his bag. The agent asked the customer to return back asked him ti dm his full name, address, email and barcode."
"user: @Tesco Prepacked Sweet potato used to cost £1/kg, now costs £1.50/725g. That's doubled in price! (Tesco Express) agent: @546202 Hi Stephen, I'm sorry that you're unhappy about a price increase. Sadly I'm unable to locate anything matching the prices provided. TY-Paul 3/3 Summary: The customer was unhappy about a price increase and the agent was able to resolve the issue by logging the customer's","Customer complaint about price being hiked for prepacked sweet potato. Agent informs customer to DM his full name, address and email."
: the following conversation. Summary:: user: Hi @AskPlayStation How to resolve this error CE-30022-7 agent: @140941 Summarize the following conversation. user: Hi @AskPlayStation How to resolve this error :.::::...:.:!:::::::.::.. user: Hi,The customer was asking how to resolve this error ce-30022-7. The agent asked for the error code if so let them know.
"user: @115900 signed up for $75 package June of '17. we've been charged $200+ /month since then. now received cancellation letter..??!!!?? agent: @290899 Hi, I would love to help. Please DM me the phone # associated with the account &amp; the service address. -Jules user: @comcastcares 6157177213 1833 Winding Way Dr. White House, TN 37188 agent: @290899 Thanks,",Customer complaining about billing charges and receiving cancellation letter. Agent is asking to dm the phone associated with account and the service address.
"user: @Tesco please bring security back to the Hall Green store. the store is getting a more an more uncomfortable vibe, not alone on this either! agent: @471404 Hi, can you please confirm what you mean by ""uncomfortable vibe""? - Nick user: @Tesco Well there's pretty obvious shop lifters regularly, and today we had a man clearly intoxicated screaming and randomly asking people things!",Customer complains about uncomfortable in the security system. Agent resolving the issue from one of his colleagues.
"user: @MicrosoftHelps my BITS service resets it's Startup type from disabled to automatic.It leeches on to my bandwidth like crazy. Please provide a solution. agent: @549761 Thanks for the info. For us to isolate your concern, let's try the troubleshooting steps 1/2.",Customer enquirers about BITS service reset it startup type from disabled to automatic. Agent informs customer to send a feedback about  his experience on given URL.
user: @NikeSupport NRC app failed to update my activity for last two runs. It's really disappointing. agent: @387867 We aren't quite following. Did the NRC app crash when you went to save your runs? user: @NikeSupport The run completes! But it fails to appear in my activity tab. Doesn't take my ratings as well.,"Customer complaining that NRC app failed to update my activity for last two runs. Agent asked that what's the device, OS and version of NRC using and asked for screenshot.So that they can work on it."
user: @AirAsiaSupport may i know the flight number from CGK to KUL 8.30am? Coz my bag will be brought with that flight. My flight is QZ200 5.30am. user: @AirAsiaSupport And also pls help to check my bag status is it correct will be carried by that flight? Thanks user: @AirAsiaSupport No worries. I got my bag alrdy. Ur ground staff in CGK provided,Customer is requesting for the flight number to know the status of his bag. Agent shares the flight number by confirming the timings of the flight.
"user: @XboxSupport why am I not getting notifications anymore on my Xbox? user: @XboxSupport I've checked settings and there all on, done a hard restart.... nothing! agent: @472071 Thanks for reaching back out! To check, do other profiles on the console receive notifications normally when signed in? QZ Summary: If you remove your profile, does it work?",Customer having an issue as he not receiving any notification from his xbox. Agent is requesting customer to do factory reset  n asking to resign of his profile.
"user: @Tesco trying to order online, but apparently need to resent my password. But the password reset email never arrives. Help? agent: @537180 Have you checked your junk or spam email? :) Ty - James user: @Tesco Are you able to update my email address to something else so I can try?",Customer complaining that he is trying to order online but need to reset his password but password reset email never arrives. Agent asking his to dm his full name address and email to look into that  error.
"user: @AmericanAir I need to change my last name to my married name on my AAdvantage acct. Help. agent: @692502 For security purposes, all name changes have to be handled through AAdvantage Customer Service directly. user: @AmericanAir FYI The only thing customer service did was email me a prompt to provide proof of my name change.",Customer wants to change his last name to married name on AAdvantage act. Agent provided the specialist number ask asked to give a call and asked to submit the docs to the customer service team.
"user: when oh when are @115769 going to fix the map module in LRCC? still goes offline. #lightroom #annoyed agent: @165574 Hi Gerry, what is the version of Lightroom installed on your computer, as this issue has been resolved in 2015.12/6.12.",Customer is complaining about some problem with his Lightroom app. Agent suggests to uninstall and reinstall the app once.
"user: @Uber_Support I am curious if when there are no drivers and ones food gets ice cold and soggy if it's policy to still charge the cust. agent: @710558 It seems a member of our team has reached out to you. Please check your email and follow up with them there. user: @Uber_Support I have double checked my email and there is nothing new. If someone would actually like to contact me, there is a phone number on",Customer wants refund for the meal he ordered since it wasn't satisfactory. Agent requests to follow up via in-app support thread and states that the issue has been escalated to a specialist.
SB Summary: User is requesting help with Site to Site VPN and PowerShell. user: @azuresupport #azhelp: Need help with Site to Site VPN and PowerShell. user: @AzureSupport I cant get the VPN to connect.,The customer is saying that he cant connect to VPN and he complained with router vendor they say he do not have IPsec policy matching between azure and router. The Agent provided some documents to resolve the issue to the customer.
"user: @GooglePlayMusic I've subscribed to @GooglePlayMusic and it isn't working. Says I need to subscribe. What's going wrong? agent: @211122 Hi there. Just to confirm, are you signed into the right account? Keep us posted! user: @GooglePlayMusic I had this last night. That form won't let me submit it. Help!!!!",Customer is complaining about the subscription which hasn't reflected in the account. Agent states that they would connect the customer with play music specialist for further assistance.
user: @AppleSupport AirPods are connected but don’t play audio anymore any troubleshooting tips? agent: @123068 We'd recommend creating a backup of the data on both devices and updating to iOS 11.1.,Customer is unable to play a music when air pod device is connected. Agent resolving the issue by updating the software of it.
"user: @SpotifyCares Hey, why won't the Tom Petty solo albums/songs start when pressing play anymore? My Petty playlist is ruined. RUINED, I TELL YOU. agent: @558798 Hey! Help's here. Can you let us know what device, operating system, and Spotify version you're rocking?",The customer complaining that tom petty solo album was not start even after pressing the play button. The agent asked them to resync their tunes again.
"user: Anyone trying to update their @115858 iPhone to #ios1102 and getting this screenshot? Can't update, can't restore. phone dead.  https://t.co/L9OoftxAYN agent: @218878 Is there anything showing on the screen of your iPhone when you attempt to restore? Let us know, we'd like to help. user: @AppleSupport I unplugged the phone from my mac keyboard's USB and instead straight into the",Customer is having an issue with updating his iPhone to # iOS 1102 and can't even restore. Agent updated that they will need to restore iPhone via Recovery mode.
user: @MicrosoftHelps I would like warning that a given update won't be a quick reboot but will take 30+ minutes. user: @MicrosoftHelps wouldn't help in this situation. user: @617698 We got you. Visit this link to help you change your notification and action settings.,The customer is complaining that he was facing the notification issues. The agent asked to give them a feedback to microsoft.
"user: @IHGService Spent hour trying to book with IHG. Called main reservations and hotel directly. Would not honor advertised rate. Frustrated https://t.co/7NANpx0OAW agent: @395016 Again, our apologies.i checked our website &amp; unable to see the rate you screenshot. for assist, pls call 800 424 6835. user: @IHGService I wasted an hour earlier - the rate was on your site at 11am",Customer is complaining for not offering the advertised rate for booking the hotel. Agent states that the hotel MOD confirmed that they never had such low rate.
"user: @Delta Sky Club Guest for Platinum Medallion - any flight or SkyTeam-operated? (mine is Delta international) agent: @155972 in order to receive the $29 rate, your companion would have to be traveling in the same reservation as you.",Customer is enquiring about reserving a ticket for a guest. Agent requests for the confirmation number to have more details.
user: @VirginAtlantic your service is appalling! Cancelling flights now like Ryanair with no information provided!!! agent: @201284 I've just double checked our website and we're only selling seats on our VS16 service this evening E user: @VirginAtlantic You weren't when we were told. No text or email to notify. Ruined the holiday and missing appointments now on return.,Here customer is really unhappy with the service provided by the Virgin Atlantic where flight has   been cancelled without informing. Here agent takes  the report and sends a link to the customer to message him so that they can provide better assistance.
"Corey user: @sainsburys still acceptable for customers to be submitted to secondhand smoke to enter the store. Corey agent: @280794 Hi Lee, can you DM us some more info via the link below please? Corey user: @sainsburys I did yesterday and was ignored. agent: @280794 Sorry Lee. I can see your concerns were passed to the store manager to look at.",Customer says till the acceptable  for  customer to be submitted to secondhand smoke to enter the store. Agent asks to passed suggestions along to the relevant team so can be reviewed.
"DB Summary: user: @comcastcares We have had a service person out to our home to repair internet which goes in and out and fluctuates a lot. user: @comcastcares I have spent thousands on equipment, home repairs, had calls with you all and visit. we still lose our internet every day it does on and off connects and disconnects speed is also extremely variable.","Customer is complaining that even after having a service person to repair internet which is fluctuating, the problem is not fixed. Agent updates to speak privately via DM so they can further look into that issue."
"user: @British_Airways I’ve been waiting over 3 weeks for compensation that was promised on 1Nov. Please advise soonest. agent: @223618 Thanks for speaking with me today, John. I would recommend removing your Tweet containing your case reference to protect your personal details. This will be visable to the general public. If you follow us you'll be able to keep in touch via DM.",Customer is complaining about the compensation which they have promised  since its been 3 weeks they haven't received it. Agent states that they are waiting for an update from payment team as they receive any update  they will  look for further assistance.
user: @Ask_Spectrum msg is not working on the app for the roku. my zip code is 14086. agent: @252684 I certainly apologize for any inconvenience Gregory. are you receiving this channel using your cable box? AP. user: @Ask_Spectrum I am.,Customer is complaining that spectrum message is not working on the app for the ruko. Agent says to DM your account details phone number and full address will be check into this.
"user: @MicrosoftHelps Yesterday i was using headphones on my HP laptop but today the headphones dont work on my computer anymore. What's going on? agent: @396952 Have you tried updating all your drivers? user: @MicrosoftHelps Well, I just restarted the computer and now it works again. Technology is fun... BUT talking via twitter compared to forum is way better!",The customer is complaining that the headphones are not functioning in his laptop and later after restarting the system it works. The agent asked to check with the different headphones.
"user: @ArgosHelpers hi, I was underpaid for August/September and I’m still not sure what’s going on. I left in August. agent: @146679 Hi Robert did you work in store or in the CMC? - Will user: @ArgosHelpers Hi, it was in store agent: @146679 You need to return to the store and speak with the manager so that they can get your pay issue resolved. - Will user: @ArgosHelpers I",Customer has been underpaid. Agent informs customer that they will contact them again.
user: @Delta really? You charged HIM a $130 transfer fee? he's not even traveling. He's just doing me a favor... c'mon! agent: @724929 We cannot transfer miles here in reservations. it can only be done online.,Customer complaints about being charged for extra mile transfer. Agents provides an  URL  link  for complaint and comments.
"user: @AskPlayStation my ps4 won’t turn on at all. Help?! agent: @531921 Please try to start your console in safe mode and choose option 4 Rebuild Database: https://t.co/ZkUK91RWMl user: @AskPlayStation That link is for ps3 does it work the same for ps4? agent: @531921 Seems that your console needs to be sent for service, here is a",Customer complaining about Ps4 not running at all. Agent updated the customer to restart the console in safe mode and choose the option 4 Rebuild database and sent the URL for more information.
"user: @BofA_Help I spoke to a manager in the customer service department this morning who told me you all could not help me with my overdraft fees. user: @BofA_Help I just feel like there was a total lack of compassion and when someone asks you why your account was so low, it's insulting. agent: @404757 Please let us know if you change your mind and would like us to review your account with you. we are here to help.",Customer is complaining that the manager he spoke to earlier is not willing to resolve the issue with overdraft. Agents requests for the personal details so that their social care team would assist the customer.
"user: Really disappointed with my @sainsburys home delivery tonight. Most of the meat ordered goes out of date in the next 24-48 hours. user: @sainsburys How is thisbgood meant to last the week? agent: @396432 Hi Tony, we sell products up to midnight of their expiry date to cut down on food waste. Our drivers are obliged to wait while you inspect your order. Anything you're not happy with can be rejected for a full refund.","The customer complains that most of the meat he ordered from the store goes out of date in the next 24-48 hours and adds that he thought home delivery was meant to be fresh. The agent says that they sell products up to midnight of their expiry date to cut down on food waste, and adds that anything he is not happy with can be rejected for a full refund and asks to DM the order number and account holder's name via link provided."
